join_order;execution_tree;time_total;mem_peak;time_load;mem_load;time_filters;mem_filters;time_joins;mem_joins
// Timestamp 2023-04-17T22:13:21
[5, 13, 22, 4, 15, 19, 14, 1, 9, 10, 16, 2, 0, 12, 3, 7, 8, 11, 18, 21, 6, 20, 17];((it1[s]it1.info[in]['countries'])[X]((cn[s]cn.country_code[!=][us])[X](((cct1[s]cct1.kind[in]['crew'])[X]((it2[s]it2.info[in]['rating'])[X](((((((kt[s]kt.kind[in]['movie', 'episode'])[X](((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((mk[X](((ct[X]((((cct2[s]cct2.kind[!=]complete+verified)[X]((t[s]t.production_year[>]2000)[X]cc))[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5)))[XS]mi_idx.movie_id=cc.movie_id)[XS]mc.movie_id=cc.movie_id[X](mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])))[XS]mi.movie_id=mi_idx.movie_id)[XS]t.id=mk.movie_id)[XS]mi.movie_id=cc.movie_id[XS]t.id=mi_idx.movie_id[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mi.movie_id=mc.movie_id))[XS]mk.movie_id=mi.movie_id));29.167579174041748;7409511924;18.16733407974243;2715990070;23.077209949493408;2239557969;[23.612251043319702, 23.733670473098755, 23.743816614151, 23.830795288085938, 23.85236668586731, 23.875391483306885, 23.895827293395996, 23.963999032974243, 26.000088691711426, 28.694910287857056, 28.983938217163086, 29.00490117073059, 29.02548050880432, 29.043636322021484, 29.05284285545349, 29.064329147338867, 29.073493719100952, 29.082358598709106, 29.095277547836304, 29.104148149490356, 29.107052326202393, 29.161211013793945, 29.167575120925903];[680100034, 385533650, 254300040, 295212206, 236962612, 259863465, 241385847, 271157644, 6712750134, 7409511924, 3554557656, 97938926, 118144193, 98856931, 90690607, 90690620, 90690760, 90691024, 81652489, 48023256, 38795386, 49332170, 7470815]
[5, 13, 22, 4, 15, 19, 14, 1, 9, 10, 16, 2, 0, 12, 3, 7, 8, 11, 18, 21, 6, 20, 17];((it1[s]it1.info[in]['countries'])[X]((cn[s]cn.country_code[!=][us])[X](((cct1[s]cct1.kind[in]['crew'])[X]((it2[s]it2.info[in]['rating'])[X](((((((kt[s]kt.kind[in]['movie', 'episode'])[X](((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((mk[X](((ct[X]((((cct2[s]cct2.kind[!=]complete+verified)[X]((t[s]t.production_year[>]2000)[X]cc))[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5)))[XS]mi_idx.movie_id=cc.movie_id)[XS]mc.movie_id=cc.movie_id[X](mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])))[XS]mi.movie_id=mi_idx.movie_id)[XS]t.id=mk.movie_id)[XS]mi.movie_id=cc.movie_id[XS]t.id=mi_idx.movie_id[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mi.movie_id=mc.movie_id))[XS]mk.movie_id=mi.movie_id));28.733964443206787;7409511854;17.643343448638916;2715989470;22.610153198242188;2239557739;[23.148669004440308, 23.265389680862427, 23.275460958480835, 23.358898162841797, 23.38024926185608, 23.4015691280365, 23.42128014564514, 23.486176252365112, 25.491315364837646, 28.15863847732544, 28.532418966293335, 28.556585550308228, 28.580952167510986, 28.600388050079346, 28.609559297561646, 28.618775129318237, 28.628271102905273, 28.638165712356567, 28.651649951934814, 28.661370754241943, 28.664409637451172, 28.728189945220947, 28.73396110534668];[680099968, 385533348, 254299680, 295211788, 236962078, 259862931, 241385371, 271157284, 6712749832, 7409511854, 3554557528, 97939668, 118144703, 98858485, 90692045, 90692058, 90692198, 90692462, 81653753, 48024404, 38796940, 49333782, 7472369]
[5, 13, 22, 4, 15, 19, 14, 1, 9, 10, 16, 2, 0, 12, 3, 7, 8, 11, 18, 21, 6, 20, 17];((it1[s]it1.info[in]['countries'])[X]((cn[s]cn.country_code[!=][us])[X](((cct1[s]cct1.kind[in]['crew'])[X]((it2[s]it2.info[in]['rating'])[X](((((((kt[s]kt.kind[in]['movie', 'episode'])[X](((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((mk[X](((ct[X]((((cct2[s]cct2.kind[!=]complete+verified)[X]((t[s]t.production_year[>]2000)[X]cc))[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5)))[XS]mi_idx.movie_id=cc.movie_id)[XS]mc.movie_id=cc.movie_id[X](mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])))[XS]mi.movie_id=mi_idx.movie_id)[XS]t.id=mk.movie_id)[XS]mi.movie_id=cc.movie_id[XS]t.id=mi_idx.movie_id[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mi.movie_id=mc.movie_id))[XS]mk.movie_id=mi.movie_id));28.089627027511597;7409508305;17.29654812812805;2715986440;22.232421875;2239554666;[22.76807475090027, 22.87926483154297, 22.88940143585205, 22.973761796951294, 22.9947988986969, 23.016107082366943, 23.035851001739502, 23.103453159332275, 25.140904426574707, 27.638573169708252, 27.910163640975952, 27.931126356124878, 27.951352834701538, 27.969788551330566, 27.97905969619751, 27.98901891708374, 27.99846315383911, 28.00724744796753, 28.019822597503662, 28.029236793518066, 28.0322048664093, 28.084134817123413, 28.08962345123291];[680097056, 385530725, 254297115, 295209223, 236959399, 259860136, 241382054, 271154083, 6712746515, 7409508305, 3554554037, 97935249, 118140516, 98853544, 90687220, 90687233, 90687373, 90687637, 81649044, 48019811, 38791245, 49328203, 7467022]
[5, 13, 22, 4, 15, 19, 14, 1, 9, 10, 16, 2, 0, 12, 3, 7, 8, 11, 18, 21, 6, 20, 17];((it1[s]it1.info[in]['countries'])[X]((cn[s]cn.country_code[!=][us])[X](((cct1[s]cct1.kind[in]['crew'])[X]((it2[s]it2.info[in]['rating'])[X](((((((kt[s]kt.kind[in]['movie', 'episode'])[X](((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((mk[X](((ct[X]((((cct2[s]cct2.kind[!=]complete+verified)[X]((t[s]t.production_year[>]2000)[X]cc))[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5)))[XS]mi_idx.movie_id=cc.movie_id)[XS]mc.movie_id=cc.movie_id[X](mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])))[XS]mi.movie_id=mi_idx.movie_id)[XS]t.id=mk.movie_id)[XS]mi.movie_id=cc.movie_id[XS]t.id=mi_idx.movie_id[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mi.movie_id=mc.movie_id))[XS]mk.movie_id=mi.movie_id));28.47398805618286;7409507045;17.681647300720215;2715985378;22.578266143798828;2239553736;[23.106606245040894, 23.221153497695923, 23.2317898273468, 23.315195560455322, 23.33599066734314, 23.357053518295288, 23.376131534576416, 23.443562507629395, 25.475157976150513, 28.0147066116333, 28.29802966117859, 28.31905746459961, 28.33922052383423, 28.35731554031372, 28.366378784179688, 28.375342845916748, 28.384308099746704, 28.39311456680298, 28.405755281448364, 28.415735483169556, 28.41875648498535, 28.468388080596924, 28.473984003067017];[680096076, 385529863, 254296253, 295208419, 236958487, 259859398, 241381084, 271153345, 6712745893, 7409507045, 3554552835, 97935149, 118140126, 98853560, 90687062, 90687075, 90687215, 90687479, 81648828, 48019595, 38791029, 49327987, 7466690]
[5, 13, 22, 4, 15, 19, 14, 1, 9, 10, 16, 2, 0, 12, 3, 7, 8, 11, 18, 21, 6, 20, 17];((it1[s]it1.info[in]['countries'])[X]((cn[s]cn.country_code[!=][us])[X](((cct1[s]cct1.kind[in]['crew'])[X]((it2[s]it2.info[in]['rating'])[X](((((((kt[s]kt.kind[in]['movie', 'episode'])[X](((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((mk[X](((ct[X]((((cct2[s]cct2.kind[!=]complete+verified)[X]((t[s]t.production_year[>]2000)[X]cc))[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5)))[XS]mi_idx.movie_id=cc.movie_id)[XS]mc.movie_id=cc.movie_id[X](mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])))[XS]mi.movie_id=mi_idx.movie_id)[XS]t.id=mk.movie_id)[XS]mi.movie_id=cc.movie_id[XS]t.id=mi_idx.movie_id[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mi.movie_id=mc.movie_id))[XS]mk.movie_id=mi.movie_id));28.373910665512085;7409512318;17.423508405685425;2715991382;22.304999351501465;2239558993;[22.832191467285156, 22.95138382911682, 22.961443185806274, 23.044949054718018, 23.06702995300293, 23.087843656539917, 23.108217239379883, 23.1769380569458, 25.259294748306274, 27.89166569709778, 28.191998958587646, 28.21384620666504, 28.235265731811523, 28.254466772079468, 28.26386308670044, 28.27316117286682, 28.282220125198364, 28.29106903076172, 28.30375599861145, 28.3134982585907, 28.31649875640869, 28.368467092514038, 28.37390661239624];[680101118, 385534455, 254300787, 295212895, 236963006, 259863859, 241385719, 271157922, 6712750470, 7409512318, 3554557992, 97940074, 118145051, 98858601, 90692045, 90692058, 90692198, 90692462, 81653869, 48024578, 38797346, 49333782, 7472427]
[13, 22, 18, 10, 14, 2, 11, 12, 5, 20, 7, 8, 6, 4, 3, 15, 0, 17, 19, 21, 16, 9, 1];((((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((cct1[s]cct1.kind[in]['crew'])[X](ct[X]((it1[s]it1.info[in]['countries'])[X]((kt[s]kt.kind[in]['movie', 'episode'])[X]((((((((cn[s]cn.country_code[!=][us])[X](((t[s]t.production_year[>]2000)[X]mk)[X](((((mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])[X]((it2[s]it2.info[in]['rating'])[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5))))[X]((cct2[s]cct2.kind[!=]complete+verified)[X]cc))[XS]mi.movie_id=mc.movie_id[XS]mi.movie_id=cc.movie_id))[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mk.movie_id=mi.movie_id[XS]t.id=mc.movie_id[XS]t.id=mi_idx.movie_id[XS]mi_idx.movie_id=cc.movie_id)))))[XS]mk.movie_id=cc.movie_id[XS]t.id=mi.movie_id;33.19113206863403;3797631838;17.624017477035522;2715987220;22.649879455566406;2239555350;[22.829549551010132, 22.83699870109558, 22.875644207000732, 22.951387643814087, 22.974671125411987, 23.800625324249268, 23.83684468269348, 23.840628147125244, 24.73051905632019, 26.013110876083374, 27.29310441017151, 27.85712766647339, 28.414223194122314, 28.9546115398407, 29.4799485206604, 30.030359268188477, 30.98466396331787, 31.962180852890015, 32.82831811904907, 33.13819241523743, 33.18582224845886, 33.189671754837036, 33.19112467765808];[694056141, 564646301, 596996447, 577986284, 512444050, 988211140, 345173158, 341373914, 2508933211, 3609844774, 2907214355, 2507476010, 2507476957, 2507477161, 2507477410, 2507477663, 3797631838, 3604054533, 3586137368, 1846372720, 354619572, 5925822, 5110164]
[13, 22, 18, 10, 14, 2, 11, 12, 5, 20, 7, 8, 6, 4, 3, 15, 0, 17, 19, 21, 16, 9, 1];((((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((cct1[s]cct1.kind[in]['crew'])[X](ct[X]((it1[s]it1.info[in]['countries'])[X]((kt[s]kt.kind[in]['movie', 'episode'])[X]((((((((cn[s]cn.country_code[!=][us])[X](((t[s]t.production_year[>]2000)[X]mk)[X](((((mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])[X]((it2[s]it2.info[in]['rating'])[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5))))[X]((cct2[s]cct2.kind[!=]complete+verified)[X]cc))[XS]mi.movie_id=mc.movie_id[XS]mi.movie_id=cc.movie_id))[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mk.movie_id=mi.movie_id[XS]t.id=mc.movie_id[XS]t.id=mi_idx.movie_id[XS]mi_idx.movie_id=cc.movie_id)))))[XS]mk.movie_id=cc.movie_id[XS]t.id=mi.movie_id;33.22598671913147;3797629757;18.290492057800293;2715986053;23.124828577041626;2239554117;[23.311594247817993, 23.320130825042725, 23.356906175613403, 23.433689832687378, 23.45687508583069, 24.271849870681763, 24.306769132614136, 24.311751127243042, 25.157670497894287, 26.36833429336548, 27.54486584663391, 28.097195863723755, 28.65297818183899, 29.177106142044067, 29.679853916168213, 30.235735416412354, 31.1310818195343, 32.02723050117493, 32.87011647224426, 33.17481017112732, 33.22057890892029, 33.22444486618042, 33.225982904434204];[694054966, 564645252, 596995292, 577985129, 512442779, 988209869, 345171952, 341372650, 2508931715, 3609843220, 2907212337, 2507473876, 2507474818, 2507475022, 2507475155, 2507475292, 3797629757, 3604052577, 3586135354, 1846370706, 354617558, 5921952, 5106468]
[13, 22, 18, 10, 14, 2, 11, 12, 5, 20, 7, 8, 6, 4, 3, 15, 0, 17, 19, 21, 16, 9, 1];((((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((cct1[s]cct1.kind[in]['crew'])[X](ct[X]((it1[s]it1.info[in]['countries'])[X]((kt[s]kt.kind[in]['movie', 'episode'])[X]((((((((cn[s]cn.country_code[!=][us])[X](((t[s]t.production_year[>]2000)[X]mk)[X](((((mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])[X]((it2[s]it2.info[in]['rating'])[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5))))[X]((cct2[s]cct2.kind[!=]complete+verified)[X]cc))[XS]mi.movie_id=mc.movie_id[XS]mi.movie_id=cc.movie_id))[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mk.movie_id=mi.movie_id[XS]t.id=mc.movie_id[XS]t.id=mi_idx.movie_id[XS]mi_idx.movie_id=cc.movie_id)))))[XS]mk.movie_id=cc.movie_id[XS]t.id=mi.movie_id;35.04058599472046;3797632954;19.673933506011963;2715990122;24.69061779975891;2239557858;[24.871352910995483, 24.87915873527527, 24.915597200393677, 24.989001035690308, 25.011308670043945, 25.813158988952637, 25.847712993621826, 25.851425409317017, 26.734188079833984, 27.960599660873413, 29.140186309814453, 29.655747652053833, 30.17154026031494, 30.705756664276123, 31.228077173233032, 31.832794666290283, 32.84368848800659, 33.78004336357117, 34.65035676956177, 34.98777723312378, 35.03514575958252, 35.03915739059448, 35.040579080581665];[694058286, 564648514, 596998723, 577988502, 512446152, 988213126, 345175149, 341375673, 2508934854, 3609846359, 2907215418, 2507476957, 2507477957, 2507478277, 2507478526, 2507478721, 3797632954, 3604055774, 3586138609, 1846373961, 354620813, 5925616, 5110016]
[13, 22, 18, 10, 14, 2, 11, 12, 5, 20, 7, 8, 6, 4, 3, 15, 0, 17, 19, 21, 16, 9, 1];((((k[s]k.keyword[in]['murder', 'murder-in-title', 'blood', 'violence'])[X]((cct1[s]cct1.kind[in]['crew'])[X](ct[X]((it1[s]it1.info[in]['countries'])[X]((kt[s]kt.kind[in]['movie', 'episode'])[X]((((((((cn[s]cn.country_code[!=][us])[X](((t[s]t.production_year[>]2000)[X]mk)[X](((((mi[s]mi.info[in]['Sweden', 'Norway', 'Germany', 'Denmark', 'Swedish', 'Danish', 'Norwegian', 'German', 'USA', 'American'])[X]((it2[s]it2.info[in]['rating'])[X](((mc[s]mc.note[not-like]%(USA)%)[s]mc.note[like]['%(200%)%'])[X](mi_idx[s]mi_idx.info[<]8.5))))[X]((cct2[s]cct2.kind[!=]complete+verified)[X]cc))[XS]mi.movie_id=mc.movie_id[XS]mi.movie_id=cc.movie_id))[XS]mk.movie_id=mi_idx.movie_id[XS]mk.movie_id=mc.movie_id[XS]mk.movie_id=mi.movie_id[XS]t.id=mc.movie_id[XS]t.id=mi_idx.movie_id[XS]mi_idx.movie_id=cc.movie_id)))))[XS]mk.movie_id=cc.movie_id[XS]t.id=mi.movie_id;32.520285844802856;3797632911;17.555941581726074;2715989968;22.362728595733643;2239557845;[22.546728372573853, 22.554083585739136, 22.591705322265625, 22.66623544692993, 22.688679695129395, 23.507049322128296, 23.542712211608887, 23.546610116958618, 24.421772241592407, 25.681316375732422, 26.807071447372437, 27.33812975883484, 27.94473934173584, 28.466121912002563, 29.006311655044556, 29.574209213256836, 30.489853382110596, 31.37139129638672, 32.19458293914795, 32.47138500213623, 32.5154447555542, 32.518818616867065, 32.52028155326843];[694058203, 564648306, 596998515, 577988352, 512446002, 988213034, 345175110, 341375750, 2508934931, 3609846378, 2907215674, 2507477271, 2507478204, 2507478524, 2507478773, 2507478910, 3797632911, 3604055673, 3586138566, 1846373918, 354620770, 5926150, 5110550]
