join_order;execution_tree;time_total;mem_peak;time_load;mem_load;time_filters;mem_filters;time_joins;mem_joins
// Timestamp 2023-04-17T21:38:08
[1, 2, 0, 3, 4];((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X]((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx))[XS]mc.movie_id=mi_idx.movie_id);8.89668321609497;447334425;6.169634103775024;1316005690;7.926578521728516;877926872;[8.42283034324646, 8.724305868148804, 8.848551750183105, 8.867902278900146, 8.896672248840332];[444029019, 447334425, 227922321, 95778086, 74772326]
[1, 2, 0, 3, 4];((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X]((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx))[XS]mc.movie_id=mi_idx.movie_id);8.887059211730957;444034336;6.139842987060547;1316011831;7.907170534133911;877932497;[8.39708399772644, 8.73034405708313, 8.842227458953857, 8.860014200210571, 8.88705062866211];[444034336, 441819264, 181487311, 48598258, 27592614]
[1, 2, 0, 3, 4];((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X]((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx))[XS]mc.movie_id=mi_idx.movie_id);9.140548706054688;444026998;6.361111164093018;1316003954;8.151084184646606;877924941;[8.656310558319092, 8.974885940551758, 9.094712734222412, 9.113376140594482, 9.140540361404419];[444026998, 441811870, 181479917, 48590926, 27585166]
[1, 2, 0, 3, 4];((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X]((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx))[XS]mc.movie_id=mi_idx.movie_id);8.8617103099823;444032085;6.146685838699341;1316009670;7.894654750823975;877930221;[8.37622618675232, 8.701789855957031, 8.815593719482422, 8.83371114730835, 8.861700296401978];[444032085, 441817071, 181485060, 48596243, 27590483]
[1, 2, 0, 3, 4];((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X]((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx))[XS]mc.movie_id=mi_idx.movie_id);8.909332275390625;444028993;6.162294864654541;1316005566;7.929222106933594;877926765;[8.424944400787354, 8.746948480606079, 8.862695693969727, 8.881133317947388, 8.909323930740356];[444028993, 441813926, 181481915, 48592518, 27586816]
[0, 3, 4, 2, 1];((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X]((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx)))[XS]t.id=mc.movie_id;9.034473896026611;407634004;6.64792275428772;1316005446;8.428829669952393;877926763;[8.490064859390259, 8.586427927017212, 8.598679304122925, 9.032988786697388, 9.034470558166504];[407634004, 361113609, 256241220, 269099916, 461925]
[0, 3, 4, 2, 1];((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X]((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx)))[XS]t.id=mc.movie_id;8.618942260742188;407641983;6.236648797988892;1316014451;8.013379573822021;877934891;[8.074199676513672, 8.169694662094116, 8.181243896484375, 8.617498636245728, 8.61893892288208];[407641983, 361121176, 256248729, 269107425, 469202]
[0, 3, 4, 2, 1];((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X]((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx)))[XS]t.id=mc.movie_id;8.718029499053955;407631993;6.364516735076904;1316003609;8.119655847549438;877924747;[8.180811882019043, 8.277254104614258, 8.289211511611938, 8.716555118560791, 8.718026161193848];[407631993, 361111719, 256239161, 269097857, 460615]
[0, 3, 4, 2, 1];((((t[s]t.production_year[>=]2005)[s]t.production_year[<=]2010)[X]((it[s]it.info[in]['bottom 10 rank'])[X](((ct[s]ct.kind[in]['production companies'])[X](mc[s]mc.note[not-like]%(as Metro-Goldwyn-Mayer Pictures)%))[X]mi_idx)))[XS]t.id=mc.movie_id;8.810068607330322;407638279;6.471039295196533;1316011197;8.216542959213257;877931424;[8.27577805519104, 8.370949268341064, 8.38302993774414, 8.80864953994751, 8.810065746307373];[407638279, 361117629, 256245119, 269103815, 466056]
